window_id,scenario,seed,n,attack_fraction,novel_replacement,drift_share,uncorrected_drift_share,mean_ks,max_ks,macro_f1,attack_recall,benign_fpr,roc_auc,tn,fp,fn,tp,n_BENIGN,recall_BENIGN,n_DDoS,recall_DDoS,n_PortScan,recall_PortScan,n_BruteForce,recall_BruteForce,n_WebAttacks,recall_WebAttacks
S0_n500_s2021,S0,2021,500,0.3,0.0,0.0,0.0,0.027461538461538468,0.04179999999999995,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s2022,S0,2022,500,0.3,0.0,0.0,0.0,0.028799999999999992,0.04999999999999999,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s2023,S0,2023,500,0.3,0.0,0.0,0.09615384615384616,0.03422307692307692,0.0686,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s2024,S0,2024,500,0.3,0.0,0.0,0.0,0.02443076923076923,0.04039999999999999,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n1000_s42,S0,42,1000,0.3,0.0,0.0,0.0,0.019411538461538466,0.029799999999999938,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s123,S0,123,1000,0.3,0.0,0.0,0.0,0.019911538461538463,0.038000000000000034,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s456,S0,456,1000,0.3,0.0,0.0,0.019230769230769232,0.02773461538461539,0.054400000000000004,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s789,S0,789,1000,0.3,0.0,0.0,0.0,0.022765384615384618,0.03939999999999999,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s1024,S0,1024,1000,0.3,0.0,0.0,0.057692307692307696,0.02381153846153847,0.04800000000000004,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2000,S0,2000,1000,0.3,0.0,0.0,0.0,0.026223076923076922,0.044399999999999995,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2001,S0,2001,1000,0.3,0.0,0.0,0.0,0.022930769230769234,0.04239999999999999,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2002,S0,2002,1000,0.3,0.0,0.0,0.0,0.025480769230769227,0.045399999999999996,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2003,S0,2003,1000,0.3,0.0,0.0,0.0,0.02514999999999999,0.04579999999999995,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2004,S0,2004,1000,0.3,0.0,0.0,0.1346153846153846,0.029211538461538462,0.06220000000000003,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
S0_n1000_s2005,S0,2005,1000,0.3,0.0,0.0,0.0,0.021357692307692303,0.03839999999999999,1.0,1.0,0.0,1.0,700,0,0,300,700,1.0,300,1.0,0,,0,,0,
